"customerid","recencydays","totalorders","totalspent","customersegment"
14141,3,4,915.13,"Loyal Customers"
14142,374,1,311.81,"Lost / Inactive"
14143,134,1,115.80,"At Risk Customers"
14145,47,4,3742.20,"Loyal Customers"
14146,9,5,4191.00,"Champions"
14147,79,2,483.40,"Lost / Inactive"
14148,234,1,157.20,"Lost / Inactive"
14149,221,1,446.62,"Lost / Inactive"
14150,36,2,658.64,"Lost / Inactive"
14152,76,2,621.29,"Lost / Inactive"
14154,240,2,1345.62,"Lost / Inactive"
14155,267,1,118.75,"Lost / Inactive"
14156,10,55,117379.63,"Champions"
14157,20,2,432.88,"New / Recent Customers"
14158,41,1,507.66,"Lost / Inactive"
14159,20,11,4693.01,"Champions"
14161,216,3,1110.52,"Lost / Inactive"
14162,174,2,289.36,"At Risk Customers"
14163,88,4,2445.91,"Loyal Customers"
14164,71,2,1631.77,"Lost / Inactive"
14165,276,1,122.54,"Lost / Inactive"
14167,40,4,574.84,"Loyal Customers"
14171,99,1,363.79,"At Risk Customers"
14173,11,4,450.84,"Loyal Customers"
14174,34,1,134.46,"Lost / Inactive"
14175,60,3,3222.30,"Loyal Customers"
14176,298,4,576.90,"Lost / Inactive"
14177,87,4,559.41,"Loyal Customers"
14178,9,7,1620.93,"Champions"
14179,41,2,719.78,"Lost / Inactive"
14180,11,25,4748.52,"Champions"
14184,67,1,452.89,"Lost / Inactive"
14185,332,1,197.65,"Lost / Inactive"
14188,31,6,2054.36,"Loyal Customers"
14189,3,15,4654.08,"Champions"
14191,2,13,4684.76,"Champions"
14193,68,2,853.39,"Lost / Inactive"
14194,5,21,11349.52,"Champions"
14195,202,2,1012.00,"Lost / Inactive"
14196,107,1,335.52,"At Risk Customers"
14198,19,4,701.40,"Loyal Customers"
14199,219,1,185.40,"Lost / Inactive"
14201,61,7,747.44,"Loyal Customers"
14204,3,1,161.03,"New / Recent Customers"
14205,17,2,466.70,"New / Recent Customers"
14206,240,1,328.16,"Lost / Inactive"
14208,95,1,151.74,"At Risk Customers"
14209,11,6,2073.43,"Champions"
14210,106,6,1905.84,"At Risk Customers"
14211,54,9,2241.10,"Loyal Customers"
14212,90,1,1070.48,"Lost / Inactive"
14214,31,5,1004.38,"Loyal Customers"
14215,12,6,1789.72,"Champions"
14216,4,4,1839.30,"Loyal Customers"
14217,2,17,2004.98,"Champions"
14218,43,1,169.48,"Lost / Inactive"
14219,5,1,89.94,"New / Recent Customers"
14220,248,2,632.40,"Lost / Inactive"
14221,43,9,3432.80,"Loyal Customers"
14222,178,1,683.17,"At Risk Customers"
14223,93,3,991.13,"At Risk Customers"
14224,111,4,1050.12,"At Risk Customers"
14226,29,5,2232.19,"Champions"
14227,27,10,3350.96,"Champions"
14229,52,3,1547.20,"Loyal Customers"
14231,184,3,925.71,"Lost / Inactive"
14232,43,5,2048.07,"Loyal Customers"
14233,50,4,1462.72,"Loyal Customers"
14234,23,4,775.46,"Loyal Customers"
14235,76,5,3144.86,"Loyal Customers"
14236,81,2,490.86,"Lost / Inactive"
14237,374,1,161.00,"Lost / Inactive"
14238,327,1,146.85,"Lost / Inactive"
14239,44,11,2380.85,"Loyal Customers"
14240,31,2,890.34,"Lost / Inactive"
14241,184,1,213.70,"Lost / Inactive"
14242,235,2,280.55,"Lost / Inactive"
14243,9,10,2588.77,"Champions"
14245,220,2,1693.45,"Lost / Inactive"
14246,111,3,1474.06,"At Risk Customers"
14247,279,1,136.77,"Lost / Inactive"
14248,319,1,302.58,"Lost / Inactive"
14250,8,3,1904.05,"Loyal Customers"
14251,2,5,2879.70,"Champions"
14256,261,2,969.06,"Lost / Inactive"
14257,65,5,3099.72,"Loyal Customers"
14258,10,9,12669.98,"Champions"
14259,142,1,120.00,"At Risk Customers"
14261,51,2,1163.45,"Lost / Inactive"
14262,9,8,2618.23,"Champions"
14264,155,2,333.97,"At Risk Customers"
14265,110,2,530.18,"At Risk Customers"
14267,163,3,1516.24,"At Risk Customers"
14270,332,1,492.65,"Lost / Inactive"
14271,226,1,112.32,"Lost / Inactive"
14272,74,2,437.96,"Lost / Inactive"
14273,52,4,559.97,"Loyal Customers"
14276,99,3,1119.74,"At Risk Customers"
14277,16,3,4216.20,"Loyal Customers"
14280,197,1,134.04,"Lost / Inactive"
14282,4,15,3729.34,"Champions"
14284,31,2,595.25,"Lost / Inactive"
14285,22,4,1910.01,"Loyal Customers"
14286,24,3,4628.75,"Loyal Customers"
14287,9,3,176.63,"Loyal Customers"
14288,214,1,426.60,"Lost / Inactive"
14289,9,6,911.26,"Champions"
14290,12,5,2314.65,"Champions"
14291,2,11,3883.25,"Champions"
14292,8,9,4871.93,"Champions"
14293,4,4,1046.56,"Loyal Customers"
14295,41,1,166.20,"Lost / Inactive"
14297,18,4,1305.33,"Loyal Customers"
14298,9,44,51527.30,"Champions"
14299,9,9,3965.62,"Champions"
14300,19,1,43.20,"New / Recent Customers"
14301,118,1,640.14,"At Risk Customers"
14304,223,1,383.45,"Lost / Inactive"
14305,72,3,1858.96,"Loyal Customers"
14306,52,2,2093.32,"Lost / Inactive"
14307,89,6,2995.72,"Loyal Customers"
14309,9,9,2352.53,"Champions"
14311,243,1,310.26,"Lost / Inactive"
14312,47,6,1611.59,"Loyal Customers"
14314,107,1,120.00,"At Risk Customers"
14315,45,6,2481.13,"Loyal Customers"
14317,65,1,508.58,"Lost / Inactive"
14320,207,2,477.79,"Lost / Inactive"
14321,11,5,1530.75,"Champions"
14323,115,2,605.06,"At Risk Customers"
14326,243,1,183.85,"Lost / Inactive"
14327,164,1,311.65,"At Risk Customers"
14329,18,7,5014.84,"Champions"
14331,125,2,462.66,"At Risk Customers"
14332,23,3,866.31,"Loyal Customers"
14333,68,1,415.20,"Lost / Inactive"
14334,17,8,2552.21,"Champions"
14335,17,2,468.26,"New / Recent Customers"
14336,17,4,1614.91,"Loyal Customers"
14338,162,2,588.22,"At Risk Customers"
14339,243,1,309.52,"Lost / Inactive"
14340,219,1,134.70,"Lost / Inactive"
14341,46,8,2182.28,"Loyal Customers"
14342,22,4,668.56,"Loyal Customers"
14344,128,8,889.93,"At Risk Customers"
14345,39,1,108.98,"Lost / Inactive"
14346,121,2,1021.58,"At Risk Customers"
14348,261,1,409.57,"Lost / Inactive"
14349,11,1,133.50,"New / Recent Customers"
14350,275,1,282.93,"Lost / Inactive"
14351,165,1,51.00,"At Risk Customers"
14352,158,4,1078.96,"At Risk Customers"
14353,216,1,90.60,"Lost / Inactive"
14354,6,2,163.62,"New / Recent Customers"
14355,366,1,174.40,"Lost / Inactive"
14356,80,2,701.23,"Lost / Inactive"
14357,44,1,225.77,"Lost / Inactive"
14359,20,3,912.18,"Loyal Customers"
14360,32,4,2128.23,"Loyal Customers"
14362,23,1,161.20,"New / Recent Customers"
14364,109,8,3717.35,"At Risk Customers"
14367,9,16,9261.52,"Champions"
14368,320,1,155.00,"Lost / Inactive"
14371,296,1,100.50,"Lost / Inactive"
14373,359,1,76.55,"Lost / Inactive"
14375,186,1,257.68,"Lost / Inactive"
14377,192,2,617.05,"Lost / Inactive"
14379,45,2,348.10,"Lost / Inactive"
14381,53,1,202.68,"Lost / Inactive"
14382,27,1,626.07,"New / Recent Customers"
14383,39,3,1247.69,"Loyal Customers"
14385,10,3,202.11,"Loyal Customers"
14386,297,1,142.40,"Lost / Inactive"
14387,33,3,1770.56,"Loyal Customers"
14388,11,8,3212.84,"Champions"
14389,66,2,1043.46,"Lost / Inactive"
14390,11,9,4652.82,"Champions"
14393,219,1,67.95,"Lost / Inactive"
14395,3,9,3507.71,"Champions"
14396,66,2,487.99,"Lost / Inactive"
14397,3,19,2612.96,"Champions"
14400,150,1,574.70,"At Risk Customers"
14401,5,13,4051.48,"Champions"
14403,131,4,1475.81,"At Risk Customers"
14404,34,6,1474.32,"Loyal Customers"
14406,120,1,156.75,"At Risk Customers"
14407,108,6,2157.73,"At Risk Customers"
14408,11,7,2606.53,"Champions"
14409,72,6,2059.45,"Loyal Customers"
14410,93,9,1105.07,"At Risk Customers"
14411,311,1,1063.00,"Lost / Inactive"
14412,43,2,770.03,"Lost / Inactive"
14413,363,1,122.70,"Lost / Inactive"
14414,92,7,1496.98,"At Risk Customers"
14415,2,13,5900.28,"Champions"
14416,23,2,490.22,"New / Recent Customers"
14418,4,3,1937.25,"Loyal Customers"
14419,11,6,1058.06,"Champions"
14420,100,1,387.52,"At Risk Customers"
14421,58,2,813.11,"Lost / Inactive"
14422,1,6,4263.64,"Champions"
14423,219,1,265.20,"Lost / Inactive"
14424,18,1,322.08,"New / Recent Customers"
14426,24,10,4481.67,"Champions"
14427,51,2,363.34,"Lost / Inactive"
14428,8,5,1244.83,"Champions"
14431,303,1,470.36,"Lost / Inactive"
14432,10,6,2255.51,"Champions"
14434,22,6,1372.80,"Champions"
14436,99,1,89.06,"At Risk Customers"
14437,366,1,63.00,"Lost / Inactive"
14438,307,1,131.90,"Lost / Inactive"
14439,320,1,2661.24,"Lost / Inactive"
14440,9,5,2357.68,"Champions"
14441,1,4,1712.89,"Loyal Customers"
14442,205,2,1589.82,"Lost / Inactive"
14443,54,4,1420.20,"Loyal Customers"
14446,1,4,1039.58,"Loyal Customers"
14447,19,5,1163.23,"Champions"
14448,10,2,375.35,"New / Recent Customers"
14449,19,4,907.10,"Loyal Customers"
14450,181,3,483.25,"Lost / Inactive"
14451,61,2,662.59,"Lost / Inactive"
14452,11,2,264.44,"New / Recent Customers"
14453,191,1,119.93,"Lost / Inactive"
14456,6,9,3062.40,"Champions"
14457,311,1,113.64,"Lost / Inactive"
14459,156,1,1837.92,"At Risk Customers"
14460,111,3,434.34,"At Risk Customers"
14461,149,3,2103.06,"At Risk Customers"
14462,67,11,2004.02,"Loyal Customers"
14463,99,3,529.62,"At Risk Customers"
14465,247,3,1058.62,"Lost / Inactive"
14466,30,7,2272.40,"Champions"
14467,18,4,598.76,"Loyal Customers"
14470,12,2,461.19,"New / Recent Customers"
14472,104,8,1936.84,"At Risk Customers"
14473,75,2,234.34,"Lost / Inactive"
14474,47,1,547.66,"Lost / Inactive"
14475,72,3,925.85,"Loyal Customers"
14476,258,1,215.70,"Lost / Inactive"
14477,20,4,1309.60,"Loyal Customers"
14479,254,2,316.25,"Lost / Inactive"
14480,12,1,279.05,"New / Recent Customers"
14481,165,2,636.51,"At Risk Customers"
14482,19,6,2068.15,"Champions"
14483,282,1,137.10,"Lost / Inactive"
14484,51,1,321.92,"Lost / Inactive"
14485,39,1,165.75,"Lost / Inactive"
14487,27,6,1196.33,"Champions"
14488,68,1,1064.28,"Lost / Inactive"
14489,208,1,463.38,"Lost / Inactive"
14491,176,2,340.93,"At Risk Customers"
14493,8,5,2383.24,"Champions"
14494,26,1,139.56,"New / Recent Customers"
14495,51,2,123.80,"Lost / Inactive"
14496,312,2,538.81,"Lost / Inactive"
14497,310,1,475.37,"Lost / Inactive"
14498,43,5,1957.32,"Loyal Customers"
14499,27,3,815.32,"Loyal Customers"
14500,89,3,356.85,"Loyal Customers"
14501,184,2,251.21,"Lost / Inactive"
14502,20,11,2470.67,"Champions"
14503,4,6,3543.26,"Champions"
14504,48,4,673.26,"Loyal Customers"
14505,18,8,5905.64,"Champions"
14506,18,5,2012.17,"Champions"
14507,24,6,1383.18,"Champions"
14508,23,2,276.42,"New / Recent Customers"
14511,12,5,1314.81,"Champions"
14512,188,2,275.28,"Lost / Inactive"
14513,101,3,455.59,"At Risk Customers"
14514,62,3,1055.35,"Loyal Customers"
14515,18,6,2102.09,"Champions"
14517,34,2,330.45,"Lost / Inactive"
14518,65,1,174.37,"Lost / Inactive"
14520,2,2,270.60,"New / Recent Customers"
14522,25,4,974.54,"Loyal Customers"
14523,109,1,241.09,"At Risk Customers"
14524,32,9,1867.68,"Loyal Customers"
14525,20,9,4332.20,"Champions"
14527,3,55,8508.82,"Champions"
14528,38,1,364.22,"Lost / Inactive"
14529,61,3,620.04,"Loyal Customers"
14530,26,6,2925.91,"Champions"
14532,237,4,932.85,"Lost / Inactive"
14533,25,7,1949.72,"Champions"
14534,3,18,4447.05,"Champions"
14535,61,3,2864.19,"Loyal Customers"
14536,260,1,171.80,"Lost / Inactive"
14537,58,1,355.56,"Lost / Inactive"
14538,65,2,388.25,"Lost / Inactive"
14539,16,2,537.48,"New / Recent Customers"
14540,10,3,996.26,"Loyal Customers"
14541,59,8,1461.65,"Loyal Customers"
14542,186,1,103.25,"Lost / Inactive"
14543,29,16,3630.33,"Champions"
14544,25,2,2024.45,"New / Recent Customers"
14546,6,5,2578.09,"Champions"
14547,4,8,4007.54,"Champions"
14548,151,2,652.80,"At Risk Customers"
14549,312,1,289.24,"Lost / Inactive"
14550,11,2,765.62,"New / Recent Customers"
14551,19,2,186.23,"New / Recent Customers"
14552,152,1,165.07,"At Risk Customers"
14553,20,5,859.27,"Champions"
14554,11,4,2381.04,"Loyal Customers"
14555,58,2,324.14,"Lost / Inactive"
14557,86,1,788.38,"Lost / Inactive"
14560,8,22,2237.77,"Champions"
14561,76,3,1080.76,"Loyal Customers"
14562,4,18,5074.77,"Champions"
14565,96,4,3099.12,"At Risk Customers"
14566,111,1,1432.00,"At Risk Customers"
14567,57,2,1530.36,"Lost / Inactive"
14569,2,1,227.39,"New / Recent Customers"
14570,281,2,218.06,"Lost / Inactive"
14572,4,7,2832.84,"Champions"
14573,180,9,1653.42,"At Risk Customers"
14576,373,1,35.40,"Lost / Inactive"
14577,13,4,859.71,"Loyal Customers"
14578,4,1,168.63,"New / Recent Customers"
14581,17,1,138.60,"New / Recent Customers"
14582,41,1,114.11,"Lost / Inactive"
14583,6,5,1052.55,"Champions"
14584,170,4,1042.26,"At Risk Customers"
14585,51,1,157.05,"Lost / Inactive"
14586,277,1,237.36,"Lost / Inactive"
14587,19,9,1601.14,"Champions"
14589,372,1,39.75,"Lost / Inactive"
14591,16,4,1447.14,"Loyal Customers"
14592,36,3,570.46,"Loyal Customers"
14593,22,3,617.99,"Loyal Customers"
14594,8,2,379.83,"New / Recent Customers"
14595,20,6,1740.60,"Champions"
14597,12,2,883.15,"New / Recent Customers"
14598,45,1,221.97,"Lost / Inactive"
14600,306,1,393.33,"Lost / Inactive"
14601,11,1,213.96,"New / Recent Customers"
14603,275,1,660.00,"Lost / Inactive"
14606,2,93,12156.65,"Champions"
14607,16,14,16569.50,"Champions"
14608,5,4,1785.15,"Loyal Customers"
14609,73,4,601.56,"Loyal Customers"
14616,243,3,406.08,"Lost / Inactive"
14618,10,3,553.44,"Loyal Customers"
14619,246,1,394.44,"Lost / Inactive"
14620,206,2,412.78,"Lost / Inactive"
14621,2,5,1788.36,"Champions"
14622,185,1,320.58,"Lost / Inactive"
14623,33,5,889.25,"Loyal Customers"
14624,58,2,225.85,"Lost / Inactive"
14625,197,2,899.63,"Lost / Inactive"
14626,24,4,2791.27,"Loyal Customers"
14628,92,2,671.96,"At Risk Customers"
14629,5,2,959.01,"New / Recent Customers"
14631,51,3,1006.98,"Loyal Customers"
14632,263,1,114.56,"Lost / Inactive"
14633,267,1,344.90,"Lost / Inactive"
14636,37,2,609.85,"Lost / Inactive"
14638,51,1,443.60,"Lost / Inactive"
14639,53,6,2984.49,"Loyal Customers"
14640,25,6,2125.08,"Champions"
14641,22,1,110.46,"New / Recent Customers"
14642,59,1,96.12,"Lost / Inactive"
14643,171,2,693.81,"At Risk Customers"
14644,68,2,830.76,"Lost / Inactive"
14645,157,2,597.09,"At Risk Customers"
14646,2,73,280206.02,"Champions"
14647,202,1,243.22,"Lost / Inactive"
14649,5,4,1417.29,"Loyal Customers"
14651,68,2,654.60,"Lost / Inactive"
14652,78,1,114.18,"Lost / Inactive"
14653,2,7,1947.55,"Champions"
14655,9,4,1932.23,"Loyal Customers"
14656,170,2,291.05,"At Risk Customers"
14657,18,4,848.22,"Loyal Customers"
14658,6,2,247.15,"New / Recent Customers"
14659,9,9,2529.93,"Champions"
14660,87,2,285.74,"Lost / Inactive"
14661,27,1,107.95,"New / Recent Customers"
14662,29,4,771.17,"Loyal Customers"
14664,20,2,637.89,"New / Recent Customers"
14665,61,5,1835.70,"Loyal Customers"
14666,25,1,195.25,"New / Recent Customers"
14667,11,25,9241.20,"Champions"
14669,242,3,1269.99,"Lost / Inactive"
14670,281,2,411.53,"Lost / Inactive"
14672,235,2,765.55,"Lost / Inactive"
14673,4,5,1736.40,"Champions"
14675,17,1,604.75,"New / Recent Customers"
14676,32,6,2548.24,"Loyal Customers"
14680,26,16,28754.11,"Champions"
14681,72,3,498.95,"Loyal Customers"
14682,188,2,52.00,"Lost / Inactive"
14684,26,5,1236.28,"Champions"
14687,107,1,628.38,"At Risk Customers"
14688,8,21,5630.87,"Champions"
14689,209,1,112.80,"Lost / Inactive"
14690,45,2,371.70,"Lost / Inactive"
14691,31,5,2114.33,"Loyal Customers"
14692,138,4,591.55,"At Risk Customers"
14693,265,1,172.90,"Lost / Inactive"
14696,5,7,2078.95,"Champions"
14697,219,2,188.61,"Lost / Inactive"
14698,2,5,1250.76,"Champions"
14699,215,1,109.13,"Lost / Inactive"
14700,33,3,2235.30,"Loyal Customers"
14701,11,9,2549.37,"Champions"
14702,2,17,3292.14,"Champions"
14703,15,1,318.17,"New / Recent Customers"
14704,12,9,1546.91,"Champions"
14705,199,1,179.00,"Lost / Inactive"
14708,3,3,1126.37,"Loyal Customers"
14709,16,13,4921.04,"Champions"
14710,15,4,606.13,"Loyal Customers"
14711,11,11,2868.80,"Champions"
14712,30,3,917.07,"Loyal Customers"
14713,10,11,2666.36,"Champions"
14714,25,1,160.19,"New / Recent Customers"
14715,25,4,867.38,"Loyal Customers"
14716,44,2,329.68,"Lost / Inactive"
14719,2,5,1602.13,"Champions"
14720,6,3,663.81,"Loyal Customers"
14722,148,1,187.92,"At Risk Customers"
14723,11,6,1158.30,"Champions"
14725,25,1,718.08,"New / Recent Customers"
14727,275,1,268.58,"Lost / Inactive"
14729,374,1,313.49,"Lost / Inactive"
14730,2,8,2005.06,"Champions"
14731,48,3,380.02,"Loyal Customers"
14732,9,8,2702.49,"Champions"
14733,17,12,9585.91,"Champions"
14735,4,32,6065.69,"Champions"
14737,4,3,1164.55,"Loyal Customers"
14738,43,7,1314.45,"Loyal Customers"
14739,5,7,3902.28,"Champions"
14740,198,3,1448.21,"Lost / Inactive"
14741,12,6,1400.34,"Champions"
14744,17,7,1099.98,"Champions"
14745,113,5,1220.26,"At Risk Customers"
14747,250,1,328.20,"Lost / Inactive"
14748,30,5,1415.75,"Champions"
14752,44,1,389.64,"Lost / Inactive"
14753,88,1,563.15,"Lost / Inactive"
14754,45,2,638.05,"Lost / Inactive"
14755,10,11,5010.28,"Champions"
14756,16,1,738.96,"New / Recent Customers"
14757,76,1,420.50,"Lost / Inactive"
14758,145,4,1484.06,"At Risk Customers"
14759,5,3,1625.97,"Loyal Customers"
14760,298,1,89.20,"Lost / Inactive"
14761,59,2,255.90,"Lost / Inactive"
14762,264,1,300.52,"Lost / Inactive"
14764,47,1,278.30,"Lost / Inactive"
14765,30,3,254.11,"Loyal Customers"
14766,9,6,2473.37,"Champions"
14768,18,2,192.60,"New / Recent Customers"
14769,3,8,10674.75,"Champions"
14770,233,2,876.42,"Lost / Inactive"
14772,113,1,139.26,"At Risk Customers"
14775,59,3,1011.90,"Loyal Customers"
14776,52,11,2538.30,"Loyal Customers"
14778,128,2,730.86,"At Risk Customers"
14779,281,3,386.15,"Lost / Inactive"
14780,55,2,447.68,"Lost / Inactive"
14782,320,1,200.10,"Lost / Inactive"
14784,27,2,289.99,"New / Recent Customers"
14785,11,2,77.40,"New / Recent Customers"
14788,8,2,679.44,"New / Recent Customers"
14789,29,1,197.64,"New / Recent Customers"
14790,17,4,745.06,"Loyal Customers"
14792,64,1,6.20,"Lost / Inactive"
14793,22,1,228.99,"New / Recent Customers"
14794,3,7,1319.91,"Champions"
14795,167,1,131.45,"At Risk Customers"
14796,2,17,8022.49,"Champions"
14798,53,3,173.74,"Loyal Customers"
14799,52,1,157.70,"Lost / Inactive"
14800,48,12,4339.74,"Loyal Customers"
14801,62,1,193.14,"Lost / Inactive"
14803,163,3,845.55,"At Risk Customers"
14804,9,1,353.27,"New / Recent Customers"
14805,16,4,554.65,"Loyal Customers"
14806,76,1,193.39,"Lost / Inactive"
14808,40,8,2741.17,"Loyal Customers"
14810,41,11,2087.88,"Loyal Customers"
14813,370,2,155.43,"Lost / Inactive"
14815,37,2,778.50,"Lost / Inactive"
14816,198,1,271.85,"Lost / Inactive"
14817,201,2,1110.34,"Lost / Inactive"
14818,74,3,657.80,"Loyal Customers"
14819,65,2,272.07,"Lost / Inactive"
14820,22,4,507.29,"Loyal Customers"
14821,367,1,48.80,"Lost / Inactive"
14823,181,3,321.43,"Lost / Inactive"
14824,11,4,1127.71,"Loyal Customers"
14825,4,12,2226.91,"Champions"
14828,197,3,2139.76,"Lost / Inactive"
14829,30,4,697.55,"Loyal Customers"
14830,54,1,197.13,"Lost / Inactive"
14834,18,6,1720.30,"Champions"
14836,11,3,102.45,"Loyal Customers"
14837,90,4,1649.50,"Loyal Customers"
14840,268,1,62.85,"Lost / Inactive"
14841,54,6,3295.76,"Loyal Customers"
14842,44,4,2824.69,"Loyal Customers"
14844,64,4,3189.81,"Loyal Customers"
14847,149,1,309.40,"At Risk Customers"
14849,22,25,7930.54,"Champions"
14850,312,1,325.75,"Lost / Inactive"
14851,24,2,511.35,"New / Recent Customers"
14852,59,6,2836.69,"Loyal Customers"
14853,25,2,475.80,"New / Recent Customers"
14854,79,7,2759.83,"Loyal Customers"
14855,120,2,645.65,"At Risk Customers"
14856,37,3,1311.38,"Loyal Customers"
14857,60,2,1173.12,"Lost / Inactive"
14859,13,4,1353.74,"Loyal Customers"
14860,20,1,170.32,"New / Recent Customers"
14861,53,1,125.79,"Lost / Inactive"
14862,26,2,841.20,"New / Recent Customers"
14863,30,1,266.76,"New / Recent Customers"
14865,8,2,52.20,"New / Recent Customers"
14866,11,12,14389.90,"Champions"
14867,186,3,710.28,"Lost / Inactive"
14868,4,8,2953.59,"Champions"
14869,9,2,725.70,"New / Recent Customers"
14870,262,1,327.25,"Lost / Inactive"
14871,4,4,522.38,"Loyal Customers"
14873,211,1,519.68,"Lost / Inactive"
14875,108,2,1465.32,"At Risk Customers"
14878,13,9,1485.54,"Champions"
14880,78,3,706.19,"Loyal Customers"
14881,20,1,255.40,"New / Recent Customers"
14882,27,2,589.70,"New / Recent Customers"
14883,19,6,761.59,"Champions"
14885,132,1,765.32,"At Risk Customers"
14886,253,1,364.80,"Lost / Inactive"
14887,80,1,1862.00,"Lost / Inactive"
14888,208,1,369.20,"Lost / Inactive"
14889,337,1,135.90,"Lost / Inactive"
14890,254,1,125.65,"Lost / Inactive"
14891,149,2,554.38,"At Risk Customers"
14893,10,2,1237.85,"New / Recent Customers"
14894,86,1,655.75,"Lost / Inactive"
14895,8,20,11138.71,"Champions"
14896,205,2,468.77,"Lost / Inactive"
14897,8,4,1366.38,"Loyal Customers"
14898,24,6,1303.52,"Champions"
14901,12,9,1421.29,"Champions"
14902,26,1,332.66,"New / Recent Customers"
14903,22,5,2810.63,"Champions"
14904,3,2,1025.44,"New / Recent Customers"
14905,158,2,616.15,"At Risk Customers"
14907,4,7,3501.10,"Champions"
14908,75,1,277.80,"Lost / Inactive"
14910,3,4,434.35,"Loyal Customers"
14911,2,201,143825.06,"Champions"
14912,17,2,867.85,"New / Recent Customers"
14913,36,4,1227.43,"Loyal Customers"
14915,92,2,307.48,"At Risk Customers"
14916,71,4,1268.98,"Loyal Customers"
14918,116,2,1610.15,"At Risk Customers"
14920,213,2,977.77,"Lost / Inactive"
14921,31,2,1316.07,"Lost / Inactive"
14923,51,1,749.10,"Lost / Inactive"
14924,246,1,310.05,"Lost / Inactive"
14929,33,1,223.88,"Lost / Inactive"
14930,109,3,2372.86,"At Risk Customers"
14931,5,5,1257.68,"Champions"
14932,366,1,363.53,"Lost / Inactive"
14934,82,2,1890.94,"Lost / Inactive"
14935,298,1,1784.71,"Lost / Inactive"
14936,34,8,8137.02,"Loyal Customers"
14937,57,3,1621.88,"Loyal Customers"
14944,30,12,5900.25,"Champions"
14946,15,1,100.90,"New / Recent Customers"
14947,73,2,290.82,"Lost / Inactive"
14948,24,6,1101.97,"Champions"
14950,20,1,371.20,"New / Recent Customers"
14951,80,1,311.69,"Lost / Inactive"
14952,60,11,8099.49,"Loyal Customers"
14953,26,1,289.82,"New / Recent Customers"
14954,13,1,336.17,"New / Recent Customers"
14957,254,1,58.49,"Lost / Inactive"
14958,148,3,499.68,"At Risk Customers"
14959,65,4,695.42,"Loyal Customers"
14960,9,2,221.27,"New / Recent Customers"
14961,11,9,7044.68,"Champions"
14962,271,1,126.70,"Lost / Inactive"
14963,10,5,1487.80,"Champions"
14964,248,1,206.21,"Lost / Inactive"
14965,97,2,599.00,"At Risk Customers"
14966,15,1,191.32,"New / Recent Customers"
14967,50,1,463.80,"Lost / Inactive"
14968,31,1,147.59,"Lost / Inactive"
14970,69,4,1592.06,"Loyal Customers"
14971,36,3,1116.57,"Loyal Customers"
14972,129,1,114.77,"At Risk Customers"
14973,108,3,1314.45,"At Risk Customers"
14974,38,1,114.39,"Lost / Inactive"
14975,58,1,279.94,"Lost / Inactive"
14976,58,7,790.86,"Loyal Customers"
14978,73,5,1931.42,"Loyal Customers"
14981,247,1,102.12,"Lost / Inactive"
14984,20,2,213.27,"New / Recent Customers"
14985,199,2,296.75,"Lost / Inactive"
14987,16,2,326.40,"New / Recent Customers"
14988,212,1,334.54,"Lost / Inactive"
14995,39,2,233.23,"Lost / Inactive"
14997,47,3,546.20,"Loyal Customers"
14998,171,2,429.87,"At Risk Customers"
15000,48,1,490.52,"Lost / Inactive"
15002,116,4,1641.76,"At Risk Customers"
15004,148,1,1246.32,"At Risk Customers"
15005,16,28,6316.57,"Champions"
15006,52,1,502.09,"Lost / Inactive"
15007,160,1,156.91,"At Risk Customers"
15009,13,3,1261.78,"Loyal Customers"
15010,36,1,308.94,"Lost / Inactive"
15012,54,2,423.04,"Lost / Inactive"
15014,44,2,260.17,"Lost / Inactive"
15016,173,1,170.04,"At Risk Customers"
15017,34,1,125.58,"Lost / Inactive"
15018,39,3,496.21,"Loyal Customers"
15019,267,1,266.00,"Lost / Inactive"
15021,9,9,1914.82,"Champions"
15022,12,4,905.04,"Loyal Customers"
15023,4,11,6802.76,"Champions"
15024,10,10,1661.33,"Champions"
15025,34,1,377.01,"Lost / Inactive"
15026,81,3,469.00,"Loyal Customers"
15027,31,4,1066.15,"Loyal Customers"
15028,9,4,627.13,"Loyal Customers"
15030,72,2,518.28,"Lost / Inactive"
15031,5,4,668.14,"Loyal Customers"
15032,257,3,4959.10,"Lost / Inactive"
15033,5,10,2586.67,"Champions"
15034,16,8,4308.61,"Champions"
15035,90,1,252.73,"Lost / Inactive"
15036,73,3,465.55,"Loyal Customers"
15038,59,6,705.49,"Loyal Customers"
15039,10,47,19914.44,"Champions"
15041,171,1,180.35,"At Risk Customers"
15042,200,1,135.93,"Lost / Inactive"
15043,32,1,537.00,"Lost / Inactive"
15044,20,17,7700.23,"Champions"
15045,152,2,735.66,"At Risk Customers"
15046,10,15,5213.77,"Champions"
15047,270,1,343.62,"Lost / Inactive"
15048,66,4,384.05,"Loyal Customers"
15049,274,1,121.17,"Lost / Inactive"
15050,26,3,1782.09,"Loyal Customers"
15051,24,3,1391.61,"Loyal Customers"
15052,320,1,215.78,"Lost / Inactive"
15053,5,3,697.79,"Loyal Customers"
15054,13,2,302.10,"New / Recent Customers"
15057,276,2,1489.50,"Lost / Inactive"
15058,26,11,2124.99,"Champions"
15059,41,9,1337.72,"Loyal Customers"
15060,9,4,303.09,"Loyal Customers"
15061,4,48,54534.14,"Champions"
